Event Name,Duration (hours),Total Rainfall (mm),Max Hourly Rainfall (mm),Cumulative Laterals In (m3),Total Flood Volume (m3)
"Hydrogram C_0,5_2014",13.0,24.999999999999996,7.541666666666667,133071635627.17126,529041.8436152079
"Hydrogram C_0,5_2030_H",13.0,26.599999999999998,8.15,141873850383.0893,644382.2284745461
"Hydrogram C_0,5_2030_L",13.0,25.699999999999996,7.816666666666666,136923236911.13675,579440.1113627626
"Hydrogram C_0,5_2050_H",13.0,29.483333333333334,9.183333333333334,157722075697.10806,861898.7159890445
"Hydrogram C_0,5_2050_L",13.0,25.749999999999996,7.816666666666666,137198111056.38327,582082.4673686747
"Hydrogram C_0,5_2085_H",13.0,33.233333333333334,10.666666666666668,178332857957.28983,1188424.1872287875
"Hydrogram C_0,5_2085_L",13.0,25.98333333333333,8.041666666666666,138483739346.23404,604482.3589795884
Hydrogram C_1000_2014,13.0,143.35,63.766666666666666,784256324096.161,61536226.52472917
Hydrogram C_1000_2030_H,13.0,154.03333333333333,68.36666666666666,842862338648.0426,70751121.0229325
Hydrogram C_1000_2030_L,13.0,147.21666666666667,66.39166666666667,805664235288.9022,65721252.38349941
Hydrogram C_1000_2050_H,13.0,172.9,76.725,946482867767.5946,87983600.12194405
Hydrogram C_1000_2050_L,13.0,147.11666666666667,66.09166666666667,805034478030.6532,65437019.55812086
Hydrogram C_1000_2085_H,13.0,198.51666666666668,90.35000000000001,1087718989209.7219,114888092.30979711
Hydrogram C_1000_2085_L,13.0,149.83333333333331,68.16666666666667,820113588628.0453,68541140.72561827
Hydrogram C_100_2014,13.0,91.71666666666667,34.083333333333336,499808908160.2617,18610607.026193067
Hydrogram C_100_2030_H,13.0,97.68333333333334,36.775000000000006,532616818124.4668,21947738.27200722
Hydrogram C_100_2030_L,13.0,93.65,35.391666666666666,510449359553.9388,20021113.943003096
Hydrogram C_100_2050_H,13.0,109.15,41.45,595654702495.7462,28600213.69504349
Hydrogram C_100_2050_L,13.0,93.5,35.45,509629540083.86975,20043852.622207124
Hydrogram C_100_2085_H,13.0,125.33333333333334,48.225,684620983664.5247,39503781.44832439
Hydrogram C_100_2085_L,13.0,95.28333333333333,36.44166666666666,519446327149.9204,21190706.923364956
Hydrogram C_10_2014,13.0,53.21666666666667,18.275,288160349724.20557,4338108.111736394
Hydrogram C_10_2030_H,13.0,57.31666666666666,19.71666666666667,310700051965.0409,5274134.824778279
Hydrogram C_10_2030_L,13.0,55.0,18.958333333333336,297965647760.5851,4759719.423615656
Hydrogram C_10_2050_H,13.0,63.71666666666667,22.175,345878256539.7719,7024397.617181841
Hydrogram C_10_2050_L,13.0,55.116666666666674,18.933333333333334,298605585773.5079,4764086.110378687
Hydrogram C_10_2085_H,13.0,73.28333333333333,25.783333333333335,398466107646.9563,10123623.558891635
Hydrogram C_10_2085_L,13.0,56.116666666666674,19.391666666666666,304103059356.97314,5036499.162498156
Hydrogram C_1_2014,13.0,30.883333333333333,9.65,165403219983.92957,970641.6583716872
Hydrogram C_1_2030_H,13.0,32.833333333333336,10.4,176123327646.19977,1141311.8396728442
Hydrogram C_1_2030_L,13.0,31.583333333333332,10.05,169260567860.44946,1040243.8538742322
Hydrogram C_1_2050_H,13.0,36.266666666666666,11.716666666666667,194996598550.2149,1484078.0604604552
Hydrogram C_1_2050_L,13.0,31.683333333333334,10.016666666666666,169806480503.91312,1043982.9000961831
Hydrogram C_1_2085_H,13.0,41.53333333333334,13.641666666666667,223944297534.7131,2137862.0246261116
Hydrogram C_1_2085_L,13.0,32.31666666666666,10.25,173282957384.861,1099425.253041976
Hydrogram C_200_2014,13.0,101.08333333333334,40.516666666666666,551344704303.5199,25829735.91969836
Hydrogram C_200_2030_H,13.0,107.03333333333333,43.71666666666667,584092630657.5145,30106417.475071833
Hydrogram C_200_2030_L,13.0,102.91666666666666,42.09166666666667,561466117534.0116,27639160.958222333
Hydrogram C_200_2050_H,13.0,119.88333333333334,49.36666666666667,654768921847.3743,39012610.419490606
Hydrogram C_200_2050_L,13.0,103.23333333333333,41.99166666666667,563182564284.4182,27622339.69646787
Hydrogram C_200_2085_H,13.0,138.7,57.275,758176927760.7803,53195580.74675322
Hydrogram C_200_2085_L,13.0,105.98333333333333,42.99166666666667,578290537691.0068,29186534.73678458
Hydrogram C_20_2014,13.0,63.016666666666666,21.975,342031441256.7129,6833187.932791384
Hydrogram C_20_2030_H,13.0,66.83333333333333,23.73333333333333,363019275048.6404,8143310.971917951
Hydrogram C_20_2030_L,13.0,64.51666666666667,22.791666666666668,350280080745.9644,7398171.398463359
Hydrogram C_20_2050_H,13.0,75.01666666666667,26.575,407993645951.0059,10791724.183727074
Hydrogram C_20_2050_L,13.0,64.41666666666667,22.766666666666666,349730318273.94794,7376156.145565614
Hydrogram C_20_2085_H,13.0,86.3,31.025000000000002,470023649269.11755,15490360.16096863
Hydrogram C_20_2085_L,13.0,65.88333333333333,23.325,357793320293.4697,7826214.430738531
Hydrogram C_250_2014,13.0,105.98333333333335,43.108333333333334,578300583533.7106,29265134.3502839
Hydrogram C_250_2030_H,13.0,111.88333333333333,46.66666666666667,610857470639.2848,34092193.953652605
Hydrogram C_250_2030_L,13.0,107.73333333333332,44.85,588001275090.4437,31284498.068857804
Hydrogram C_250_2050_H,13.0,126.55,52.35,691402027223.1946,43997834.39050221
Hydrogram C_250_2050_L,13.0,107.48333333333333,44.80833333333334,586635022149.2573,31192439.67916938
Hydrogram C_250_2085_H,13.0,143.9,61.20833333333333,786993891860.0165,59317160.11438538
Hydrogram C_250_2085_L,13.0,110.33333333333334,45.7,602234818818.0219,32760120.748828292
Hydrogram C_25_2014,13.0,66.15,23.358333333333334,359259307174.59705,7855748.548396742
Hydrogram C_25_2030_H,13.0,70.31666666666666,25.166666666666668,382165508595.12787,9335352.567822123
Hydrogram C_25_2030_L,13.0,67.73333333333333,24.18333333333333,367961271009.24854,8479652.36109215
Hydrogram C_25_2050_H,13.0,78.46666666666667,28.34166666666667,426969575267.6044,12397702.590840725
Hydrogram C_25_2050_L,13.0,67.83333333333333,24.224999999999998,368515341013.84467,8516775.028759291
Hydrogram C_25_2085_H,13.0,90.5,32.96666666666667,493115497961.08344,17640048.23685338
Hydrogram C_25_2085_L,13.0,68.93333333333334,24.84166666666667,374567364418.6577,8988932.082542304
Hydrogram C_2_2014,13.0,36.93333333333333,11.85,198652976355.47433,1542870.027775733
Hydrogram C_2_2030_H,13.0,39.416666666666664,12.75,212303625976.58557,1835931.0735321199
Hydrogram C_2_2030_L,13.0,37.75,12.366666666666665,203152173498.9222,1663583.3846171242
Hydrogram C_2_2050_H,13.0,43.516666666666666,14.441666666666666,234847644369.7241,2442342.835902893
Hydrogram C_2_2050_L,13.0,37.83333333333333,12.316666666666666,203605985958.61743,1663943.957168564
Hydrogram C_2_2085_H,13.0,49.91666666666667,16.725,270021045814.4069,3567909.6828146772
Hydrogram C_2_2085_L,13.0,38.6,12.6,207820716700.32202,1757589.2444236728
Hydrogram C_500_2014,13.0,122.83333333333333,52.36666666666667,671088575755.7269,42737826.666675255
Hydrogram C_500_2030_H,13.0,130.58333333333331,56.541666666666664,713867146596.8347,49482991.632773414
Hydrogram C_500_2030_L,13.0,125.79999999999998,54.425,687571705937.5829,45740715.67032415
Hydrogram C_500_2050_H,13.0,146.09999999999997,63.6,799159274093.0117,62551722.93701506
Hydrogram C_500_2050_L,13.0,125.46666666666665,54.40833333333333,685765125151.3209,45622562.58821958
Hydrogram C_500_2085_H,13.0,168.6833333333333,74.3,923507375231.0149,83586516.85644516
Hydrogram C_500_2085_L,13.0,130.7,54.708333333333336,714133735885.7538,47585951.085916266
Hydrogram C_50_2014,13.0,77.73333333333335,28.125,422934724083.63873,12097996.30645981
Hydrogram C_50_2030_H,13.0,83.31666666666668,30.299999999999997,453627597216.0595,14412816.836272499
Hydrogram C_50_2030_L,13.0,79.36666666666667,29.26666666666667,431922098198.48755,13083575.809281051
Hydrogram C_50_2050_H,13.0,92.58333333333331,34.15833333333333,504572446831.97235,18899743.498377066
Hydrogram C_50_2050_L,13.0,79.30000000000001,29.25,431560383341.1615,13074511.052540282
Hydrogram C_50_2085_H,13.0,106.61666666666666,39.733333333333334,581715741903.3569,26518108.94466462
Hydrogram C_50_2085_L,13.0,81.06666666666666,30.025,441274069069.5779,13870356.7865405
Hydrogram C_5_2014,13.0,45.86666666666667,15.183333333333334,247755246790.7818,2791209.8358815615
Hydrogram C_5_2030_H,13.0,48.733333333333334,16.349999999999998,263514716027.95728,3341596.877285885
Hydrogram C_5_2030_L,13.0,46.86666666666667,15.791666666666668,253258480220.6229,3028754.0239693783
Hydrogram C_5_2050_H,13.0,54.25,18.441666666666666,293841090217.0303,4516184.151719199
Hydrogram C_5_2050_L,13.0,47.0,15.783333333333335,253989567648.16418,3037401.54432449
Hydrogram C_5_2085_H,13.0,62.31666666666666,21.458333333333332,338182730684.2449,6569201.924873563
Hydrogram C_5_2085_L,13.0,48.03333333333333,16.141666666666666,259667904941.73428,3236131.9633482723
Hydrogram LR C2100 bui 01,4.25,10.5,10.05,25536266581.85155,30917.782363322876
Hydrogram LR C2100 bui 02,4.25,10.5,8.7,23678923743.39525,30076.843651162013
Hydrogram LR C2100 bui 03,4.25,14.399999999999999,13.5,35159628685.874985,74727.80860689742
Hydrogram LR C2100 bui 04,4.25,14.399999999999999,12.6,33377040413.807068,71724.61205005743
Hydrogram LR C2100 bui 05,4.25,16.799999999999997,15.899999999999999,41660268221.51949,114079.1774568484
Hydrogram LR C2100 bui 06,4.25,16.8,14.399999999999999,38773622219.3109,109597.19194420779
Hydrogram LR C2100 bui 07,4.0,19.8,19.8,46979924770.983604,226554.08240189546
Hydrogram LR C2100 bui 08,4.0,19.8,19.8,45059328421.23567,226656.36311552493
Hydrogram LR C2100 bui 09,4.0,29.400000000000002,29.4,71360893034.77315,1020055.7817891607
Hydrogram LR C2100 bui 10,3.75,35.7,35.699999999999996,81800737789.26532,2082308.7420410472
Hydrogram Stresstestbui 01,4.0,70.0,70.0,166109008913.71234,11550560.335171938
Hydrogram Stresstestbui 02,4.0,90.0,90.0,213955657731.3632,20099690.699564546
Hydrogram Stresstestbui 03,5.0,160.0,80.0,436276696993.0223,53358210.53462616
